Symbol;Ilość;Kolor;Model;Lokalizacja
A30 420mm;31;Black;10ft;Karton spare parts DBB
A2L 6mm 1810mm;4;;10ft;Karton spare parts DBB
A2R 6mm 1810mm;3;;10ft;Karton spare parts DBB
A2R 8mm 1810mm;1;;10ft;Karton spare parts DBB
A3R 8mm 1810mm;6;;10ft;Karton spare parts DBB
A3L 8mm 1810mm;2;;10ft;Karton spare parts DBB
A2R 1430mm;7;;8ft;Karton spare parts DBB
A3L 1430mm;5;;8ft;Karton spare parts DBB
A3R 1430mm;5;;8ft;Karton spare parts DBB
A2L 1430mm;6;;8ft;Karton spare parts DBB
A12 1380mm;16;;8ft;Karton spare parts DBB
A28 1545mm;33;;8ft;Karton spare parts DBB
A24 1755mm;24;;10ft;Karton spare parts DBB
A27 1380mm;22;;10ft;Karton spare parts DBB
A3L 6mm 1810mm;5;;10ft;Karton spare parts DBB
A23 1705mm;10;;;Karton spare parts DBB
A25 530mm;9;;;Karton spare parts DBB
A13 1680mm;9;;;Karton spare parts DBB
A19 1680mm;1;;;Karton spare parts DBB
C11 300mm;15;;;Karton spare parts DBB
